id,mineral,tipo_eslabonamiento,etapa_proyecto,macrosector,actividad,requerimiento_o_producto,frecuencia,demanda_anual_usd_demo,participacion_catamarca_pct_demo,participacion_resto_arg_pct_demo,participacion_importada_pct_demo,empleo_local_potencial_demo,criticidad,complejidad_tecnica,capacidad_local_demo,territorio_potencial,accion_sugerida,barrera_principal,beneficio_provincial,certificaciones_referenciales,cadena_valor,fuente_conceptual,nota
1,Litio,Hacia atrás,Exploración,Exploración y geociencias,Cartografía y modelado geológico,Servicios geológicos y modelado 3D,Por campaña,1724000.0,28,55,17,35,Alta,Alta,Parcial,Antofagasta de la Sierra,Desarrollar consultoría geológica local,Capital humano especializado,Conocimiento técnico,ISO 9001 / estándares QA-QC,Minería > Exploración y geociencias > Cartografía y modelado geológico,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
2,Litio,Hacia atrás,Exploración,Exploración y geociencias,Perforación exploratoria,Perforación diamantina / RC,Por campaña,5181000.0,15,51,34,85,Alta,Alta,Incipiente,Tinogasta / Fiambalá,Escalar perforistas y servicios auxiliares,Equipamiento y experiencia,Servicios especializados,ISO 9001 / seguridad minera,Minería > Exploración y geociencias > Perforación exploratoria,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
3,Litio,Hacia atrás,Exploración,Laboratorios,Muestreo y ensayos,Ensayos geoquímicos y mineralógicos,Por campaña,1986000.0,20,42,38,48,Alta,Alta,Parcial,Capital,Laboratorio regional acreditado,Acreditación y equipamiento,Ciencia aplicada,ISO/IEC 17025,Minería > Laboratorios > Muestreo y ensayos,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
4,Litio,Hacia atrás,Exploración,Tecnología,Topografía y drones,"Levantamientos, fotogrametría y GIS",Por campaña,1304000.0,39,51,10,32,Media,Alta,Parcial,Antofagasta de la Sierra,Consolidar proveedores tecnológicos,Capacitación y homologación,Economía del conocimiento,Licencias / seguridad operacional,Minería > Tecnología > Topografía y drones,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
5,Litio,Hacia atrás,Construcción,Construcción,Movimiento de suelos,"Caminos, plataformas y preparación de terrenos",Por proyecto,8627000.0,51,46,3,145,Alta,Media,Parcial,Tinogasta / Fiambalá,Escalar contratistas locales,Flota y capital de trabajo,Empleo territorial,ISO 9001 / seguridad,Minería > Construcción > Movimiento de suelos,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
6,Litio,Hacia atrás,Construcción,Construcción,Obras civiles,"Hormigón, fundaciones y edificios industriales",Por proyecto,10325000.0,40,54,6,165,Alta,Media,Parcial,Capital,Desarrollar capacidad EPC local,Escala y antecedentes,Capital físico,ISO 9001,Minería > Construcción > Obras civiles,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
7,Litio,Hacia atrás,Construcción,Metalmecánica,Estructuras metálicas,"Piping, calderería y estructuras",Por proyecto,10409000.0,17,47,36,125,Alta,Alta,Incipiente,Antofagasta de la Sierra,Cluster metalmecánico provincial,Certificación de soldadura,Industrialización,AWS / ASME / ISO 3834,Minería > Metalmecánica > Estructuras metálicas,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
8,Litio,Hacia atrás,Construcción,Energía,Infraestructura eléctrica,"Subestaciones, líneas, tableros y generación",Por proyecto,10168000.0,16,48,36,90,Alta,Muy alta,Incipiente,Tinogasta / Fiambalá,Integradores eléctricos locales,Ingeniería y certificaciones,Capacidad energética,IEC / IRAM,Minería > Energía > Infraestructura eléctrica,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
9,Litio,Hacia atrás,Construcción,Agua,Infraestructura hídrica,"Bombas, válvulas, cañerías y plantas",Por proyecto,6487000.0,24,49,27,68,Alta,Alta,Parcial,Capital,Servicios hidráulicos regionales,Stock y soporte técnico,Infraestructura crítica,ISO / normas de presión,Minería > Agua > Infraestructura hídrica,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
10,Litio,Hacia atrás,Construcción,Campamentos,Infraestructura modular,"Módulos, mobiliario e instalaciones temporales",Por proyecto,3922000.0,43,42,15,80,Media,Media,Parcial,Antofagasta de la Sierra,Fabricación/ensamble local,Escala productiva,Construcción local,Normas construcción / seguridad,Minería > Campamentos > Infraestructura modular,Fuentes oficiales / taxonomía demostrativa,"Valores económicos, participaciones y empleo SIMULADOS."
